日付,できごと,関連ポケモン,関連リンク,プロパティ
2020/2/27,Pokémon Day,ピカチュウ,https://www.pokemon.co.jp/ex/pokemonday/2023/,記念日
2020/2/28,ポケマスハーフアニバーサリー,メガリザードンX,https://pokemonmasters-game.com/ja-JP/announcements,
2020/3/6,救助隊DX発売日,ゲンガー,https://www.pokemon.co.jp/ex/dungeonDX/,
2020/3/10,サンドの日,サンド,https://www.pref.tottori.lg.jp/sandoidetottori/campaign/2020/310day/,記念日
2020/6/17,鎧の孤島配信開始日,ダクマ,https://www.pokemon.co.jp/ex/sword_shield_expansion/yoroi_no_kotoh/,
2020/6/24,ポケまぜ配信開始日,イーブイ,https://www.poke-maze.jp,
2020/9/17,メザスタ稼働開始日,,https://pokemonmezastar.com/,
2020/10/23,冠の雪原配信開始日,バドレックス,https://www.pokemon.co.jp/ex/sword_shield_expansion/kammuri_no_setsugen/,
2020/12/25,ココ上映開始日,ザルード,https://www.pokemon-movie.jp,
2021/4/30,Newポケスナ発売日,メガニウム,https://www.pokemon.co.jp/ex/newpokemonsnap/,
2021/6/5,ロコンの日,ロコン,https://local.pokemon.jp/municipality/hokkaido/,記念日
2021/7/1,Bidoof Day,ビッパ,https://twitter.com/Pokemon/status/1409527009190060035,記念日
2021/7/4,ナッシーの日,ナッシー,https://prtimes.jp/main/html/rd/p/000000300.000026665.html,記念日
2021/7/21,UNITE配信開始日,カジリガメ,https://www.pokemonunite.jp/ja/,
2021/8/1,水の日,シャワーズ,https://www.mlit.go.jp/mizukokudo/mizsei/tochimizushigen_mizsei_tk1_000012.html,記念日
2021/11/19,BDSP発売日,カイリキー,https://www.pokemon.co.jp/ex/bdsp/ja/,
2022/1/28,レジェンズアルセウス発売日,ケーシィ,https://www.pokemon.co.jp/ex/legends_arceus/ja/,
2022/3/9,ポッチャマからサンキューの日,ポッチャマ,https://www.pokemon.jp/special/project_pochama/pochama_final/,記念日
2022/4/3,ポケモンとどこいく放送開始日,,https://www.tv-tokyo.co.jp/anime/pokedoko/,
2022/5/1,工学院ポケモンだいすきクラブ設立日,ヤブクロン,https://twitter.com/Pogakuin,
2022/11/11,ウミディグダの日,ウミディグダ,https://twitter.com/poke_times/status/1590889829763584001?s=20,記念日
2022/11/18,SV発売日,マフィティフ,https://www.pokemon.co.jp/ex/sv/ja/,
2023/3/10,ミジュマルの日,ミジュマル,https://local.pokemon.jp/municipality/mie/,記念日
2023/6/16,ユンゲラー復活の日,ユンゲラー,https://twitter.com/theurigeller/status/1618297708854542336,記念日
2023/8/11,WCS2023開催日,シャリタツ,https://worlds.pokemon.com/jp-jp/,記念日
2023/1/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/2/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/3/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/4/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/5/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/6/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/7/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/8/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/9/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/10/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/11/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
2023/12/25,ポケマスデー,ピカチュウ,https://pokemonmasters-game.com/ja-JP,記念日
